,descricao,Fraude
0,"

ola

envio minhas informacoes profissionais para analise referente a oportunidade disponivel

segue abaixo as informacoes para acesso

visualizar perfil profissional

fico a disposicao para uma conversa e aguardo seu retorno

atenciosamente
id",1
1,"


convite exclusivo bradesco american express business platinum
bradesco
convite especial bradesco american express business platinum

parabens voce foi selecionado

devido ao seu excelente relacionamento com o bradesco convidamos voce a fazer parte do seleto grupo de clientes do american express business platinum

 acesso ilimitado a salas vip em aeroportos internacionais

 acumulo de pontos livelo em todas as compras

 beneficios exclusivos em hoteis de luxo e viagens

 atendimento personalizado 24h

 troque seus pontos livelo por saldo
cartao american express business platinum
solicite agora

esta mensagem foi enviada automaticamente caso nao reconheca esta comunicacao entre em contato pelo telefone oficial do bradesco",1
2,"


ha uma alteracao e atualizacao em nosso servidor de email todos os clientes precisam atualizar suas informacoes para evitar o encerramento ou suspensao de contas clique aqui para atualizar seu email

quando a atualizacao for concluida sua caixa de correio funcionara de maneira eficaz uma tentativa incorreta de senha desabilita sua conta

saudacoes
administrador",1
3,"



id
nota fiscal disponivel

ola

sua nota fiscal eletronica nfe foi gerada em id

pedido id

para visualizar clique no link abaixo

 visualizar nfe

este email foi enviado automaticamente pelo sistema shopee nfe ltda",1
4,"


atencao usuario da conta de webmail

esta mensagem e do centro de gerenciamento de webmail e contas de rede sua caixa de correio excedeu seu espaco de armazenamento permitido para melhorar a capacidade de armazenamento para melhorar a funcionalidade de sua conta e garantir que voce nao sofra interrupcoes de servico ou possivel desativacao atualize imediatamente sua conta de email para confirmacao e identificacao

atualize seus detalhes abaixo

 nome e sobrenome
 endereco de email de login completo
 nome de usuario
 senha
 reconfirme a senha


caso contrario a conta de email sera desativada automaticamente em nosso banco de dados  servidor de email

obrigado pela sua compreensao

equipe de suporte tecnico
webmail e centro de gerenciamento de contas de rede",1
5,"



detalhes da entrega

codigo de rastreamento id

status da entrega em transporte

prezadoa cliente
seu pedido ja esta a caminho para verificar os detalhes da entrega acesse o link abaixo

rastrear encomenda id

o status da sua encomenda e atualizado regularmente para garantir informacoes precisas

esta e uma mensagem automatica por favor nao responda

em caso de duvidas entre em contato com nosso atendimento

id  telefone id
id

 2025 id todos os direitos reservados",1
6,"


nota fiscal eletronica

emitida pela prefeitura de piracicaba
cnpj id
razao social id
municipio piracicaba
esta nota fiscal eletronica foi gerada de acordo com a legislacao vigente e esta disponivel para consulta para mais informacoes favor contatar o email indicado
voce tem ate id para revisar eou atualizar as informacoes de faturamento apos esse prazo as alteracoes nao poderao ser feitas e uma taxa sera aplicada
documentos relacionados

os documentos referentes a sua nota fiscal estao disponiveis para visualizacao e consulta utilize os links abaixo para acessalos
visualizar pdf da nota
aviso importante o acesso ao arquivo esta disponivel exclusivamente em computadores desktop ou notebooks nao sera possivel visualizalo em dispositivos moveis

visualize a nota fiscal completa atraves id",1
7,"


ola prezadoa
 

detectamos algo incomum recente na sua conta de email

por motivo de seguranca refaca o seu login essa verificacao e rapida e obrigatoria
voce deve efetuala agora

caso seus dados nao sejam atualizados prejudicara as funcionalidades de envio e recebimento de mensagens e sua conta ficara inativa ate que a atualizacao seja realizada 

evite o bloqueio de sua conta 

siga as instrucoes abaixo

confirmar minha caixa de email

se tiver alguma duvida entre em contato com o nosso time de atendimento atraves dos nosso ajuda locaweb estamos a sua disposicao

ate mais

equipe locaweb
suporte e ajuda
atendimento meus chamados central de ajuda statusblog",1
8,"


ref caso no id
gabinete do comissario de policia
sede da policia do brasil
quadra 6 brasilia distrito federal brasil
dataid

 aviso de ordem oficial do tribunal 

atencao prezado
chegou ao nosso conhecimento que voce estava em posse de material que
retrata menores e se envolveu em conduta sexualmente explicita esta e
uma violacao grave das leis federais e estaduais
o tribunal determina uma ordem contra seu trafego de ip da internet pelo
bureau central de investigacao departamento de pesquisa e analise no
brasil o agente federal de investigacao fia e responsavel por
investigar
crimes ciberneticos e bastante lamentavel transformar sua internet
oficial ou privada em um filme pornografico juvenil cibernetico

o central bureau of investigation trabalha em parceria com as unidades
especiais de crimes ciberneticos da policia para lidar com todos os
casos complexos e sensiveis de crimes ciberneticos especialmente quando
as vitimas sao mulheres e criancas menores o governo tambem
estabeleceu um centro nacional de seguranca cibernetica ncsc para
coordenar esforcos para combater casos de crimes ciberneticos e levar os
criminosos ciberneticos a justica

tenha certeza de que uma acao legal seria sera tomada contra voce se
voce nao responder a este aviso dentro de 24 horas do recebimento se
voce ignorar nossa mensagem novamente a partir do momento em que a
receber podera pegar ate 5 anos de prisao portanto responda a esta
mensagem ou tomaremos medidas legais contra voce imediatamente
aguardamos sua resposta imediata

atenciosamente
andrei rodrigues
ministerio da justica e seguranca publica
policiachefe de policia
promotor de menores e infracoes relacionadas a crimes ciberneticos",1
9,"


d4sign

 	
 

documento para assinar
 

id recebeu um documento id pdf para voce assinar

 
visualizar documento

esse e um email automatico nao responda
entre em contato com o email id para esclarecer quaisquer duvidas
 
	
 	 	
 	
 

nao compartilhe esse email
esse email contem um link seguro criado por d4sign por favor nao compartilhe esse email link ou codigo de acesso com outras pessoas

precisa de ajuda
se voce tiver duvidas sobre a sua assinatura entre em contato com o remetente deste documento

saiba mais sobre a d4sign
assine documentos eletronicamente em minutos e rapido seguro e juridicamente valido esteja voce em um escritorio em casa ou a caminho ou mesmo em outro pais a d4sign fornece uma solucao profissional e confiavel de assinatura eletronica
 
	

  	
d4signcombr",1
10,"


prezado cliente

informamos a id que devido a erros operacionais em nosso sistema de emissao de nfe houve divergencia na base de calculo da aliquota de icmspis sendo que foi contabilizado a cobranca a acima no valor de r id
como forma de equalizar o erro de nosso software estaremos concedendo igualmente um credito de r id no titulo id com vencimento para o dia id
solicitamos que desconsidere o titulo anterior nao pague de r id no dda e utilize o novo titulo em anexo com o valor correto de r id
em anexo segue a baixa do titulo anterior e nova duplicata atualizado
pedimos por gentileza que confirme o recebimento deste email

obs bonificacao referente a inconsistencia na cobranca da aliquota de piscofinscsll cobrado a mais

att

id
departamento financeiro
prospes cosmeticos e artigos profissionais ltda",1
11,"


prezado cliente id

informamos que o pagamento da fatura abaixo relacionada foi realizado com sucesso

fatura no id
mes de emissao id
contrato id
centro de custo cs  correios sede
valor da fatura r id

 visualizar documento 

por favor nao responda a este email",1
12,"


netflix
 
 	id  sua conta esta bloqueada
atualize seus dados de pagamento
prezadoa id
ha um problema com os dados de pagamento atuais recomendamos que voce atualize essas informacoes
atualize sua conta agora
duvidas estamos sempre prontos para ajudar visite o centro de ajuda ou entre em contato
seus amigos da netflix
 
duvidas ligue id
estamos enviando esse email porque voce e assinante netflix para alterar suas preferencias de email a qualquer momento acesse a pagina configuracoes de comunicacao da sua conta
nao responda a este email pois a caixa deste endereco de email nao e monitorada para obter ajuda ou entrar em contato acesse o centro de ajuda em helpnetflixcom
esta mensagem foi enviada pela netflix
src id
a utilizacao do servicos e site netflix esta sujeita aos termos de uso e a declaracao de privacidade
netflix entretenimento brasil ltda id",1
13,"


seu pacote esta retido na alfandega e seu cpf esta em risco de restricao

prezadoa id

seu pacote foi recebido no brasil e esta aguardando liberacao alfandegaria para entrega em id utilize o botao abaixo para prosseguir
nome 	id
documento cpf 	id
endereco 	id

a retencao ocorreu devido ao valor ou peso do item importado a entrega sera realizada em ate 2 dias uteis via correios apos a regularizacao dos impostos pacotes com tributos pendentes resultarao em restricao do cpf junto a receita federal
pagar e regularizar cpf id

ou acesse id
 

a ausencia de pagamento em tres ou mais importacoes podera resultar na inclusao do seu cpf nos cadastros de inadimplentes spcserasa",1
14,"


sua conta excedeu o limite de armazenamento de id gb conforme definido pelo administrador no momento voce esta executando id gb talvez nao seja possivel enviar ou receber novos emails enquanto nao validar novamente sua caixa de correio para revalidar sua caixa postal digite nome de usuario e senha na coluna fornecida abaixo para validar sua conta

nota clique em responder e preencha as colunas abaixo para envialo de volta para que possamos atualizar nossa conta do banco de dados imediatamente

nome completo 
nome do usuario 
senha 
confirme a senha 

obrigado
suporte ao cliente
numero de processo id
suporte helpdesk  2025 todos os direitos reservados",1
15,"


logo bradesco bradesco fidelidade  livelo
atencao comunicado importante  lembrete de expiracao de pontos id

bradesco cartoes e livelo

prezado com

seus pontos estao prestes a expirar caso nao sejam resgatados os mesmo serao perdidos e estara perdendo de receber produtos e ate mesmo dinheiro na mao

e cartao bradesco mas e conhecido por pontos que viram dinheiro em sua conta para resgatar basta acessar sua conta e fazer o resgate
acesse e inicie o resgate de pontos",1
16,"


documento atualizado  id

documento verificado  pedido id",1
17,"


endereco de email expirando id

 

seu e  mail  precisa  ser verificado para que nao haja o bloqueio da sua conta   isso acontece devido o tempo  de uso e quantidade  de e  mails

enviados ou recebidos  fique atentoa a nao confirmacao do cadastro pode bloquear sua conta e impedir de enviare receber novas  mensagens
    
 

confirme seu acesso",1
18,"


segue curriculo para a possivel contratacao

curriculo

att",1
19,"


prezadoa id

pagamento recusado atualize agora mesmo seus dados

para sua seguranca o arquivo esta protegido por senha

senha pdf  id",1
20,"


portal de servicos denatran informa

prezado cidadao

o licenciamento 2025 do seu veiculo foi revogado
o relatorio se encontra disponivel para impressao abaixo ou nos seguintes canais digitais
 app carteira digital de transito no googleplay ou appstore  servico gratuito
 portal de servicos denatran em id  servico gratuito
 crva de sua preferencia  servico pago

abrir imprimir penhora judicial id

id

mensagem enviada automaticamente por favor nao responda
denatran  departamento nacional de transito",1
21,"


sua fatura esta fechada
 
 
ola id
sua fatura ja esta fechada e vence no dia id
voce pode pagar usando o boleto que anexamos nesse email
 
equipe nubank
 
tem alguma duvida entre em contato conosco pelo chat do app
   nu pagamentos sa  instituicao de pagamento
ref id",1
22,"


net
atualize seus dados
ola
sua conta sera cancelada em breve o tempo para atualizar seus dados esta acabando
atualizar dados
informamos que sua conta esta programada para ser cancelada em breve voce perdera o acesso a todos os servicos dados e informacoes associados a sua conta que serao excluidos permanentemente
conte sempre com a nossa ajuda para saber mais acesse a central de ajuda ou entre em contato com a gente
equipe netflix


	
duvidas ligue id
netflix entretenimento brasil ltda
configuracoes de notificacao
termos de uso
privacidade
central de ajuda
esta mensagem foi enviada porque voce tem uma assinatura netflix
src id",1
