,descricao,Fraude
0,"

Olá,

Envio minhas informações profissionais para análise referente à oportunidade disponível.

Segue abaixo as informações para acesso:

Visualizar perfil profissional

Fico à disposição para uma conversa e aguardo seu retorno.

Atenciosamente,
<ID>",1
1,"


Convite Exclusivo: Bradesco American Express® Business Platinum
Bradesco
Convite Especial: Bradesco American Express® Business Platinum

Parabéns, você foi selecionado!

Devido ao seu excelente relacionamento com o Bradesco, convidamos você a fazer parte do seleto grupo de clientes do American Express® Business Platinum.

✔ Acesso ilimitado a Salas VIP em aeroportos internacionais.

✔ Acúmulo de pontos Livelo em todas as compras.

✔ Benefícios exclusivos em hotéis de luxo e viagens.

✔ Atendimento personalizado 24h.

✔ Troque seus pontos Livelo por saldo.
Cartão American Express Business Platinum
Solicite Agora

Esta mensagem foi enviada automaticamente. Caso não reconheça esta comunicação, entre em contato pelo telefone oficial do Bradesco.",1
2,"


Há uma alteração e atualização em nosso servidor de e-mail. Todos os clientes precisam atualizar suas informações para evitar o encerramento ou suspensão de contas. Clique Aqui. para atualizar seu email

Quando a atualização for concluída, sua Caixa de Correio funcionará de maneira eficaz. Uma tentativa incorreta de senha desabilita sua conta.

Saudações
Administrador.",1
3,"



<ID>
Nota Fiscal Disponível

Olá,

Sua Nota Fiscal Eletrônica (NF-e) foi gerada em <ID>

Pedido: <ID>

Para visualizar clique no link abaixo:

🔗 Visualizar NF-e

Este e-mail foi enviado automaticamente pelo sistema Shopee NF-e Ltda.",1
4,"


Atenção usuário da conta de webmail,

Esta mensagem é do centro de gerenciamento de webmail e contas de rede. Sua caixa de correio excedeu seu espaço de armazenamento permitido. Para melhorar a capacidade de armazenamento para melhorar a funcionalidade de sua conta e garantir que você não sofra interrupções de serviço ou possível desativação, atualize imediatamente sua conta de email para confirmação e identificação.

Atualize seus detalhes abaixo
_____________________________________
 Nome e Sobrenome:
 Endereço de Email de Login Completo:
 Nome de usuário:
 Senha:
 Reconfirme a senha:
_____________________________________

Caso contrário, a conta de email será desativada automaticamente em nosso banco de dados / servidor de email.

Obrigado pela sua compreensão.

Equipe de Suporte Técnico,
Webmail e Centro de Gerenciamento de Contas de Rede.",1
5,"



Detalhes da Entrega

Código de Rastreamento: <ID>

Status da Entrega: Em Transporte

Prezado(a) cliente,
Seu pedido já está a caminho! Para verificar os detalhes da entrega, acesse o link abaixo.

Rastrear Encomenda (<ID>)

O status da sua encomenda é atualizado regularmente para garantir informações precisas.

Esta é uma mensagem automática, por favor, não responda.

Em caso de dúvidas, entre em contato com nosso atendimento:

<ID> | Telefone: <ID>
<ID>

© 2025 <ID>. Todos os direitos reservados.",1
6,"


Nota Fiscal Eletrônica

Emitida pela Prefeitura de PIRACICABA
CNPJ: <ID>
Razão Social: <ID>
Município: PIRACICABA
Esta Nota Fiscal Eletrônica foi gerada de acordo com a legislação vigente e está disponível para consulta. Para mais informações, favor contatar o e-mail indicado.
Você tem até <ID> para revisar e/ou atualizar as informações de faturamento. Após esse prazo, as alterações não poderão ser feitas e uma taxa será aplicada.
Documentos Relacionados

Os documentos referentes à sua nota fiscal estão disponíveis para visualização e consulta. Utilize os links abaixo para acessá-los:
Visualizar PDF da Nota
Aviso importante: O acesso ao arquivo está disponível exclusivamente em computadores desktop ou notebooks. Não será possível visualizá-lo em dispositivos móveis.

Visualize a nota fiscal completa através: <ID>",1
7,"


Olá, Prezado:(a)
 

Detectamos algo incomum recente na sua conta de e-mail.

Por motivo de segurança refaça o seu login, essa verificação é rápida e obrigatória.
Você deve efetua-lá agora!

Caso seus dados não sejam atualizados, prejudicará as funcionalidades de envio e recebimento de mensagens, e sua conta ficará inativa até que a atualização seja realizada. 

Evite o bloqueio de sua conta. 

Siga as instruções abaixo.

Confirmar minha caixa de E-mail

Se tiver alguma dúvida, entre em contato com o nosso time de atendimento através dos nosso Ajuda Locaweb. Estamos à sua disposição.

Até mais,

Equipe Locaweb
Suporte e Ajuda
Atendimento Meus chamados Central de Ajuda Statusblog",1
8,"


Ref. Caso: No <ID>
Gabinete do Comissário de Polícia
Sede da Polícia do Brasil,
Quadra 6, Brasília, Distrito Federal, Brasil.
Data:<ID>

⚖️ AVISO DE ORDEM OFICIAL DO TRIBUNAL ⚖️

Atenção Prezado,
Chegou ao nosso conhecimento que você estava em posse de material que
retrata menores e se envolveu em conduta sexualmente explícita. Esta é
uma violação grave das leis federais e estaduais.
O tribunal determina uma ordem contra seu tráfego de IP da Internet pelo
Bureau Central de Investigação, Departamento de Pesquisa e Análise. No
Brasil, o Agente Federal de Investigação (FIA) é responsável por
investigar
crimes cibernéticos. É bastante lamentável transformar sua Internet
oficial ou privada em um filme pornográfico juvenil cibernético.

O Central Bureau of Investigation trabalha em parceria com as Unidades
Especiais de Crimes Cibernéticos da Polícia para lidar com todos os
casos complexos e sensíveis de crimes cibernéticos, especialmente quando
as vítimas são mulheres e crianças menores. O governo também
estabeleceu um Centro Nacional de Segurança Cibernética (NCSC) para
coordenar esforços para combater casos de crimes cibernéticos e levar os
criminosos cibernéticos à justiça.

Tenha certeza de que uma ação legal séria será tomada contra você se
você não responder a este aviso dentro de 24 horas do recebimento. Se
você ignorar nossa mensagem novamente a partir do momento em que a
receber, poderá pegar até 5 anos de prisão. Portanto, responda a esta
mensagem, ou tomaremos medidas legais contra você imediatamente.
Aguardamos sua resposta imediata.

Atenciosamente,
Andrei Rodrigues,
Ministério da Justiça e Segurança Pública
Polícia/Chefe de Polícia
Promotor de menores e infrações relacionadas a crimes cibernéticos.",1
9,"


D4Sign
?
? 	
 

Documento para assinar
 

<ID> Recebeu Um Documento <ID> PDF para você assinar.

 
VISUALIZAR DOCUMENTO

Esse é um e-mail automático, não responda.
Entre em contato com o e-mail <ID> para esclarecer quaisquer dúvidas.
 
	?
? 	? 	?
? 	
 

Não compartilhe esse e-mail
Esse e-mail contém um link seguro criado por D4Sign. Por favor, não compartilhe esse e-mail, link ou código de acesso com outras pessoas.

Precisa de ajuda?
Se você tiver dúvidas sobre a sua assinatura, entre em contato com o remetente deste documento.

Saiba mais sobre a D4Sign
Assine documentos eletronicamente em minutos. É rápido, seguro e juridicamente válido. Esteja você em um escritório, em casa ou a caminho, ou mesmo em outro país, a D4Sign fornece uma solução profissional e confiável de assinatura eletrônica.
 
	?
?
  	
D4Sign.com.br",1
